1,High  ,Good ,High  ,Good ,Yes 
2,Medium  ,Good ,High  ,Good ,Yes 
3,Low ,Bad ,    ,Good ,No 
4,Low,Good ,Low,Bad ,No 
5,High  ,Good ,High  ,Bad ,Yes 
6,High  ,Good ,High  ,Good ,Yes 
7,Medium,Bad ,Low ,Bad ,No 
8,Medium,Bad ,Low,Good ,No 
9,High ,Bad ,High  ,Good ,Yes 
10,Medium,Good ,High  ,Good ,Yes 
11,Low,Bad ,High  ,Bad ,No 
12,Low,Bad ,High  ,Bad ,No 
13,Medium,Good ,High ,Bad ,Yes 
14,Low,Good ,Low ,Good ,No 
15,High,Bad ,Low,Bad ,No 
16,Medium,Bad ,High ,Good ,No 
17,High,Bad ,Low ,Bad ,No 
18,Medium  ,Good ,High ,Bad ,Yes 
